"CustomerID","Genre","Age","Annual Income (k$)","Spending Score (1-100)","",""
"0066","Male","18","48","59","0","1"
"0067","Female","43","48","50","0","1"
"0068","Female","68","48","48","0","1"
"0069","Male","19","48","59","0","1"
"0070","Female","32","48","47","0","1"
"0071","Male","70","49","55","0","1"
"0072","Female","47","49","42","1","2"
"0073","Female","60","50","49","0","1"
"0074","Female","60","50","56","0","1"
"0075","Male","59","54","47","1","2"
"0076","Male","26","54","54","0","1"
"0077","Female","45","54","53","0","1"
"0078","Male","40","54","48","0","1"
"0079","Female","23","54","52","0","1"
"0080","Female","49","54","42","1","2"
"0081","Male","57","54","51","0","1"
"0082","Male","38","54","55","0","1"
"0083","Male","67","54","41","1","2"
"0084","Female","46","54","44","1","2"
"0085","Female","21","54","57","0","1"
"0086","Male","48","54","46","1","2"
"0087","Female","55","57","58","0","1"
"0088","Female","22","57","55","0","1"
"0089","Female","34","58","60","0","1"
"0090","Female","50","58","46","1","2"
"0091","Female","68","59","55","0","1"
"0092","Male","18","59","41","1","2"
"0093","Male","48","60","49","1","2"
"0094","Female","40","60","40","1","2"
"0095","Female","32","60","42","1","2"
"0096","Male","24","60","52","1","2"
"0097","Female","47","60","47","1","2"
"0098","Female","27","60","50","1","2"
"0099","Male","48","61","42","1","2"
"0100","Male","20","61","49","1","2"
"0101","Female","23","62","41","1","2"
"0102","Female","49","62","48","1","2"
"0103","Male","67","62","59","0","1"
"0104","Male","26","62","55","1","2"
"0105","Male","49","62","56","0","1"
"0106","Female","21","62","42","1","2"
"0107","Female","66","63","50","1","2"
"0108","Male","54","63","46","1","2"
"0109","Male","68","63","43","1","2"
"0110","Male","66","63","48","1","2"
"0111","Male","65","63","52","1","2"
"0112","Female","19","63","54","1","2"
"0113","Female","38","64","42","1","2"
"0114","Male","19","64","46","1","2"
"0115","Female","18","65","48","1","2"
"0116","Female","19","65","50","1","2"
"0117","Female","63","65","43","1","2"
"0118","Female","49","65","59","0","1"
"0119","Female","51","67","43","1","2"
"0120","Female","50","67","57","1","2"
"0121","Male","27","67","56","1","2"
"0122","Female","38","67","40","1","2"
"0123","Female","40","69","58","1","2"
"0124","Male","39","69","91","0","1"
"0125","Female","23","70","29","1","2"
"0126","Female","31","70","77","0","1"
"0127","Male","43","71","35","1","2"
"0128","Male","40","71","95","0","1"
"0129","Male","59","71","11","1","2"
"0130","Male","38","71","75","0","1"
"0131","Male","47","71","9","1","2"
"0132","Male","39","71","75","0","1"
"0133","Female","25","72","34","1","2"
"0134","Female","31","72","71","0","1"
"0135","Male","20","73","5","1","2"
"0136","Female","29","73","88","0","1"
"0137","Female","44","73","7","1","2"
"0138","Male","32","73","73","0","1"
"0139","Male","19","74","10","1","2"
"0140","Female","35","74","72","0","1"
"0141","Female","57","75","5","1","2"
"0142","Male","32","75","93","0","1"
"0143","Female","28","76","40","1","2"
"0144","Female","32","76","87","0","1"
"0145","Male","25","77","12","1","2"
"0146","Male","28","77","97","0","1"
"0147","Male","48","77","36","1","2"
"0148","Female","32","77","74","0","1"
"0149","Female","34","78","22","1","2"
"0150","Male","34","78","90","0","1"
"0151","Male","43","78","17","1","2"
"0152","Male","39","78","88","0","1"
"0153","Female","44","78","20","1","2"
"0154","Female","38","78","76","0","1"
"0155","Female","47","78","16","1","2"
"0156","Female","27","78","89","0","1"
"0157","Male","37","78","1","1","2"
"0158","Female","30","78","78","0","1"
"0159","Male","34","78","1","1","2"
"0160","Female","30","78","73","0","1"
"0161","Female","56","79","35","1","2"
"0162","Female","29","79","83","0","1"
"0163","Male","19","81","5","1","2"
"0164","Female","31","81","93","0","1"
"0165","Male","50","85","26","1","2"
"0166","Female","36","85","75","1","2"
"0167","Male","42","86","20","1","2"
"0168","Female","33","86","95","0","1"
"0169","Female","36","87","27","1","2"
"0170","Male","32","87","63","1","2"
"0171","Male","40","87","13","1","2"
"0172","Male","28","87","75","1","2"
"0173","Male","36","87","10","1","2"
"0174","Male","36","87","92","0","1"
"0175","Female","52","88","13","1","2"
"0176","Female","30","88","86","0","1"
"0177","Male","58","88","15","1","2"
"0178","Male","27","88","69","1","2"
"0179","Male","59","93","14","1","2"
"0180","Male","35","93","90","0","1"
"0181","Female","37","97","32","1","2"
"0182","Female","32","97","86","1","2"
"0183","Male","46","98","15","1","2"
"0184","Female","29","98","88","0","1"
"0185","Female","41","99","39","1","2"
"0186","Male","30","99","97","0","1"
"0187","Female","54","101","24","1","2"
"0188","Male","28","101","68","1","2"
"0189","Female","41","103","17","1","2"
"0190","Female","36","103","85","1","2"
"0191","Female","34","103","23","1","2"
"0192","Female","32","103","69","1","2"
"0193","Male","33","113","8","1","2"
"0194","Female","38","113","91","1","2"
"0195","Female","47","120","16","1","2"
"0196","Female","35","120","79","1","2"
"0197","Female","45","126","28","1","2"
"0198","Male","32","126","74","1","2"
"0199","Male","32","137","18","1","2"
"0200","Male","30","137","83","1","2"
